Entry	Reviewed	Entry Name	Protein names	Gene Names	Organism	Length	Organism (ID)	Proteomes	Taxonomic lineage (Ids)	AlphaFoldDB
P26006	reviewed	ITA3_HUMAN	Integrin alpha-3 (CD49 antigen-like family member C) (FRP-2) (Galactoprotein B3) (GAPB3) (VLA-3 subunit alpha) (CD antigen CD49c) [Cleaved into: Integrin alpha-3 heavy chain; Integrin alpha-3 light chain]	ITGA3 MSK18	Homo sapiens (Human)	1051	9606	UP000005640: Chromosome 17	131567 (no rank), 2759 (superkingdom), 33154 (no rank), 33208 (kingdom), 6072 (no rank), 33213 (no rank), 33511 (no rank), 7711 (phylum), 89593 (subphylum), 7742 (no rank), 7776 (no rank), 117570 (no rank), 117571 (no rank), 8287 (superclass), 1338369 (no rank), 32523 (no rank), 32524 (no rank), 40674 (class), 32525 (no rank), 9347 (no rank), 1437010 (no rank), 314146 (superorder), 9443 (order), 376913 (suborder), 314293 (infraorder), 9526 (parvorder), 314295 (superfamily), 9604 (family), 207598 (subfamily), 9605 (genus)	P26006;
P26927	reviewed	HGFL_HUMAN	Hepatocyte growth factor-like protein (Macrophage stimulatory protein) (Macrophage-stimulating protein) (MSP) [Cleaved into: Hepatocyte growth factor-like protein alpha chain; Hepatocyte growth factor-like protein beta chain]	MST1 D3F15S2 DNF15S2 HGFL	Homo sapiens (Human)	711	9606	UP000005640: Unplaced	131567 (no rank), 2759 (superkingdom), 33154 (no rank), 33208 (kingdom), 6072 (no rank), 33213 (no rank), 33511 (no rank), 7711 (phylum), 89593 (subphylum), 7742 (no rank), 7776 (no rank), 117570 (no rank), 117571 (no rank), 8287 (superclass), 1338369 (no rank), 32523 (no rank), 32524 (no rank), 40674 (class), 32525 (no rank), 9347 (no rank), 1437010 (no rank), 314146 (superorder), 9443 (order), 376913 (suborder), 314293 (infraorder), 9526 (parvorder), 314295 (superfamily), 9604 (family), 207598 (subfamily), 9605 (genus)	P26927;
P27487	reviewed	DPP4_HUMAN	Dipeptidyl peptidase 4 (EC 3.4.14.5) (ADABP) (Adenosine deaminase complexing protein 2) (ADCP-2) (Dipeptidyl peptidase IV) (DPP IV) (T-cell activation antigen CD26) (TP103) (CD antigen CD26) [Cleaved into: Dipeptidyl peptidase 4 membrane form (Dipeptidyl peptidase IV membrane form); Dipeptidyl peptidase 4 soluble form (Dipeptidyl peptidase IV soluble form)]	DPP4 ADCP2 CD26	Homo sapiens (Human)	766	9606	UP000005640: Chromosome 2	131567 (no rank), 2759 (superkingdom), 33154 (no rank), 33208 (kingdom), 6072 (no rank), 33213 (no rank), 33511 (no rank), 7711 (phylum), 89593 (subphylum), 7742 (no rank), 7776 (no rank), 117570 (no rank), 117571 (no rank), 8287 (superclass), 1338369 (no rank), 32523 (no rank), 32524 (no rank), 40674 (class), 32525 (no rank), 9347 (no rank), 1437010 (no rank), 314146 (superorder), 9443 (order), 376913 (suborder), 314293 (infraorder), 9526 (parvorder), 314295 (superfamily), 9604 (family), 207598 (subfamily), 9605 (genus)	P27487;
P29120	reviewed	NEC1_HUMAN	Neuroendocrine convertase 1 (NEC 1) (EC 3.4.21.93) (Prohormone convertase 1) (Proprotein convertase 1) (PC1)	PCSK1 NEC1	Homo sapiens (Human)	753	9606	UP000005640: Chromosome 5	131567 (no rank), 2759 (superkingdom), 33154 (no rank), 33208 (kingdom), 6072 (no rank), 33213 (no rank), 33511 (no rank), 7711 (phylum), 89593 (subphylum), 7742 (no rank), 7776 (no rank), 117570 (no rank), 117571 (no rank), 8287 (superclass), 1338369 (no rank), 32523 (no rank), 32524 (no rank), 40674 (class), 32525 (no rank), 9347 (no rank), 1437010 (no rank), 314146 (superorder), 9443 (order), 376913 (suborder), 314293 (infraorder), 9526 (parvorder), 314295 (superfamily), 9604 (family), 207598 (subfamily), 9605 (genus)	P29120;
P29122	reviewed	PCSK6_HUMAN	Proprotein convertase subtilisin/kexin type 6 (EC 3.4.21.-) (Paired basic amino acid cleaving enzyme 4) (Subtilisin-like proprotein convertase 4) (SPC4) (Subtilisin/kexin-like protease PACE4)	PCSK6 PACE4	Homo sapiens (Human)	969	9606	UP000005640: Chromosome 15	131567 (no rank), 2759 (superkingdom), 33154 (no rank), 33208 (kingdom), 6072 (no rank), 33213 (no rank), 33511 (no rank), 7711 (phylum), 89593 (subphylum), 7742 (no rank), 7776 (no rank), 117570 (no rank), 117571 (no rank), 8287 (superclass), 1338369 (no rank), 32523 (no rank), 32524 (no rank), 40674 (class), 32525 (no rank), 9347 (no rank), 1437010 (no rank), 314146 (superorder), 9443 (order), 376913 (suborder), 314293 (infraorder), 9526 (parvorder), 314295 (superfamily), 9604 (family), 207598 (subfamily), 9605 (genus)	P29122;
P29144	reviewed	TPP2_HUMAN	Tripeptidyl-peptidase 2 (TPP-2) (EC 3.4.14.10) (Tripeptidyl aminopeptidase) (Tripeptidyl-peptidase II) (TPP-II)	TPP2	Homo sapiens (Human)	1249	9606	UP000005640: Chromosome 13	131567 (no rank), 2759 (superkingdom), 33154 (no rank), 33208 (kingdom), 6072 (no rank), 33213 (no rank), 33511 (no rank), 7711 (phylum), 89593 (subphylum), 7742 (no rank), 7776 (no rank), 117570 (no rank), 117571 (no rank), 8287 (superclass), 1338369 (no rank), 32523 (no rank), 32524 (no rank), 40674 (class), 32525 (no rank), 9347 (no rank), 1437010 (no rank), 314146 (superorder), 9443 (order), 376913 (suborder), 314293 (infraorder), 9526 (parvorder), 314295 (superfamily), 9604 (family), 207598 (subfamily), 9605 (genus)	P29144;
P29508	reviewed	SPB3_HUMAN	Serpin B3 (Protein T4-A) (Squamous cell carcinoma antigen 1) (SCCA-1)	SERPINB3 SCCA SCCA1	Homo sapiens (Human)	390	9606	UP000005640: Chromosome 18	131567 (no rank), 2759 (superkingdom), 33154 (no rank), 33208 (kingdom), 6072 (no rank), 33213 (no rank), 33511 (no rank), 7711 (phylum), 89593 (subphylum), 7742 (no rank), 7776 (no rank), 117570 (no rank), 117571 (no rank), 8287 (superclass), 1338369 (no rank), 32523 (no rank), 32524 (no rank), 40674 (class), 32525 (no rank), 9347 (no rank), 1437010 (no rank), 314146 (superorder), 9443 (order), 376913 (suborder), 314293 (infraorder), 9526 (parvorder), 314295 (superfamily), 9604 (family), 207598 (subfamily), 9605 (genus)	P29508;
P29622	reviewed	KAIN_HUMAN	Kallistatin (Kallikrein inhibitor) (Peptidase inhibitor 4) (PI-4) (Serpin A4)	SERPINA4 KST PI4	Homo sapiens (Human)	427	9606	UP000005640: Chromosome 14	131567 (no rank), 2759 (superkingdom), 33154 (no rank), 33208 (kingdom), 6072 (no rank), 33213 (no rank), 33511 (no rank), 7711 (phylum), 89593 (subphylum), 7742 (no rank), 7776 (no rank), 117570 (no rank), 117571 (no rank), 8287 (superclass), 1338369 (no rank), 32523 (no rank), 32524 (no rank), 40674 (class), 32525 (no rank), 9347 (no rank), 1437010 (no rank), 314146 (superorder), 9443 (order), 376913 (suborder), 314293 (infraorder), 9526 (parvorder), 314295 (superfamily), 9604 (family), 207598 (subfamily), 9605 (genus)	P29622;
P30086	reviewed	PEBP1_HUMAN	Phosphatidylethanolamine-binding protein 1 (PEBP-1) (HCNPpp) (Neuropolypeptide h3) (Prostatic-binding protein) (Raf kinase inhibitor protein) (RKIP) [Cleaved into: Hippocampal cholinergic neurostimulating peptide (HCNP)]	PEBP1 PBP PEBP	Homo sapiens (Human)	187	9606	UP000005640: Chromosome 12	131567 (no rank), 2759 (superkingdom), 33154 (no rank), 33208 (kingdom), 6072 (no rank), 33213 (no rank), 33511 (no rank), 7711 (phylum), 89593 (subphylum), 7742 (no rank), 7776 (no rank), 117570 (no rank), 117571 (no rank), 8287 (superclass), 1338369 (no rank), 32523 (no rank), 32524 (no rank), 40674 (class), 32525 (no rank), 9347 (no rank), 1437010 (no rank), 314146 (superorder), 9443 (order), 376913 (suborder), 314293 (infraorder), 9526 (parvorder), 314295 (superfamily), 9604 (family), 207598 (subfamily), 9605 (genus)	P30086;
P30101	reviewed	PDIA3_HUMAN	Protein disulfide-isomerase A3 (EC 5.3.4.1) (58 kDa glucose-regulated protein) (58 kDa microsomal protein) (p58) (Disulfide isomerase ER-60) (Endoplasmic reticulum resident protein 57) (ER protein 57) (ERp57) (Endoplasmic reticulum resident protein 60) (ER protein 60) (ERp60)	PDIA3 ERP57 ERP60 GRP58	Homo sapiens (Human)	505	9606	UP000005640: Chromosome 15	131567 (no rank), 2759 (superkingdom), 33154 (no rank), 33208 (kingdom), 6072 (no rank), 33213 (no rank), 33511 (no rank), 7711 (phylum), 89593 (subphylum), 7742 (no rank), 7776 (no rank), 117570 (no rank), 117571 (no rank), 8287 (superclass), 1338369 (no rank), 32523 (no rank), 32524 (no rank), 40674 (class), 32525 (no rank), 9347 (no rank), 1437010 (no rank), 314146 (superorder), 9443 (order), 376913 (suborder), 314293 (infraorder), 9526 (parvorder), 314295 (superfamily), 9604 (family), 207598 (subfamily), 9605 (genus)	P30101;
P30411	reviewed	BKRB2_HUMAN	B2 bradykinin receptor (B2R) (BK-2 receptor)	BDKRB2 BKR2	Homo sapiens (Human)	391	9606	UP000005640: Chromosome 14	131567 (no rank), 2759 (superkingdom), 33154 (no rank), 33208 (kingdom), 6072 (no rank), 33213 (no rank), 33511 (no rank), 7711 (phylum), 89593 (subphylum), 7742 (no rank), 7776 (no rank), 117570 (no rank), 117571 (no rank), 8287 (superclass), 1338369 (no rank), 32523 (no rank), 32524 (no rank), 40674 (class), 32525 (no rank), 9347 (no rank), 1437010 (no rank), 314146 (superorder), 9443 (order), 376913 (suborder), 314293 (infraorder), 9526 (parvorder), 314295 (superfamily), 9604 (family), 207598 (subfamily), 9605 (genus)	P30411;
P30740	reviewed	ILEU_HUMAN	Leukocyte elastase inhibitor (LEI) (Monocyte/neutrophil elastase inhibitor) (EI) (M/NEI) (Peptidase inhibitor 2) (PI-2) (Serpin B1)	SERPINB1 ELANH2 MNEI PI2	Homo sapiens (Human)	379	9606	UP000005640: Chromosome 6	131567 (no rank), 2759 (superkingdom), 33154 (no rank), 33208 (kingdom), 6072 (no rank), 33213 (no rank), 33511 (no rank), 7711 (phylum), 89593 (subphylum), 7742 (no rank), 7776 (no rank), 117570 (no rank), 117571 (no rank), 8287 (superclass), 1338369 (no rank), 32523 (no rank), 32524 (no rank), 40674 (class), 32525 (no rank), 9347 (no rank), 1437010 (no rank), 314146 (superorder), 9443 (order), 376913 (suborder), 314293 (infraorder), 9526 (parvorder), 314295 (superfamily), 9604 (family), 207598 (subfamily), 9605 (genus)	P30740;
P35030	reviewed	TRY3_HUMAN	Trypsin-3 (EC 3.4.21.4) (Brain trypsinogen) (Mesotrypsin) (Mesotrypsinogen) (Serine protease 3) (Serine protease 4) (Trypsin III) (Trypsin IV)	PRSS3 PRSS4 TRY3 TRY4	Homo sapiens (Human)	304	9606	UP000005640: Chromosome 9	131567 (no rank), 2759 (superkingdom), 33154 (no rank), 33208 (kingdom), 6072 (no rank), 33213 (no rank), 33511 (no rank), 7711 (phylum), 89593 (subphylum), 7742 (no rank), 7776 (no rank), 117570 (no rank), 117571 (no rank), 8287 (superclass), 1338369 (no rank), 32523 (no rank), 32524 (no rank), 40674 (class), 32525 (no rank), 9347 (no rank), 1437010 (no rank), 314146 (superorder), 9443 (order), 376913 (suborder), 314293 (infraorder), 9526 (parvorder), 314295 (superfamily), 9604 (family), 207598 (subfamily), 9605 (genus)	P35030;
P35080	reviewed	PROF2_HUMAN	Profilin-2 (Profilin II)	PFN2	Homo sapiens (Human)	140	9606	UP000005640: Chromosome 3	131567 (no rank), 2759 (superkingdom), 33154 (no rank), 33208 (kingdom), 6072 (no rank), 33213 (no rank), 33511 (no rank), 7711 (phylum), 89593 (subphylum), 7742 (no rank), 7776 (no rank), 117570 (no rank), 117571 (no rank), 8287 (superclass), 1338369 (no rank), 32523 (no rank), 32524 (no rank), 40674 (class), 32525 (no rank), 9347 (no rank), 1437010 (no rank), 314146 (superorder), 9443 (order), 376913 (suborder), 314293 (infraorder), 9526 (parvorder), 314295 (superfamily), 9604 (family), 207598 (subfamily), 9605 (genus)	P35080;
P35237	reviewed	SPB6_HUMAN	Serpin B6 (Cytoplasmic antiproteinase) (CAP) (Peptidase inhibitor 6) (PI-6) (Placental thrombin inhibitor)	SERPINB6 PI6 PTI	Homo sapiens (Human)	376	9606	UP000005640: Chromosome 6	131567 (no rank), 2759 (superkingdom), 33154 (no rank), 33208 (kingdom), 6072 (no rank), 33213 (no rank), 33511 (no rank), 7711 (phylum), 89593 (subphylum), 7742 (no rank), 7776 (no rank), 117570 (no rank), 117571 (no rank), 8287 (superclass), 1338369 (no rank), 32523 (no rank), 32524 (no rank), 40674 (class), 32525 (no rank), 9347 (no rank), 1437010 (no rank), 314146 (superorder), 9443 (order), 376913 (suborder), 314293 (infraorder), 9526 (parvorder), 314295 (superfamily), 9604 (family), 207598 (subfamily), 9605 (genus)	P35237;
P36269	reviewed	GGT5_HUMAN	Glutathione hydrolase 5 proenzyme (EC 3.4.19.13) (Gamma-glutamyl transpeptidase-related enzyme) (GGT-rel) (Gamma-glutamyltransferase 5) (GGT 5) (EC 2.3.2.2) (Gamma-glutamyltransferase-like activity 1) (Gamma-glutamyltranspeptidase 5) (Leukotriene-C4 hydrolase) (EC 3.4.19.14) [Cleaved into: Glutathione hydrolase 5 heavy chain; Glutathione hydrolase 5 light chain]	GGT5 GGTLA1	Homo sapiens (Human)	586	9606	UP000005640: Chromosome 22	131567 (no rank), 2759 (superkingdom), 33154 (no rank), 33208 (kingdom), 6072 (no rank), 33213 (no rank), 33511 (no rank), 7711 (phylum), 89593 (subphylum), 7742 (no rank), 7776 (no rank), 117570 (no rank), 117571 (no rank), 8287 (superclass), 1338369 (no rank), 32523 (no rank), 32524 (no rank), 40674 (class), 32525 (no rank), 9347 (no rank), 1437010 (no rank), 314146 (superorder), 9443 (order), 376913 (suborder), 314293 (infraorder), 9526 (parvorder), 314295 (superfamily), 9604 (family), 207598 (subfamily), 9605 (genus)	P36269;
P36776	reviewed	LONM_HUMAN	Lon protease homolog, mitochondrial (EC 3.4.21.53) (LONHs) (Lon protease-like protein) (LONP) (Mitochondrial ATP-dependent protease Lon) (Serine protease 15)	LONP1 PRSS15	Homo sapiens (Human)	959	9606	UP000005640: Chromosome 19	131567 (no rank), 2759 (superkingdom), 33154 (no rank), 33208 (kingdom), 6072 (no rank), 33213 (no rank), 33511 (no rank), 7711 (phylum), 89593 (subphylum), 7742 (no rank), 7776 (no rank), 117570 (no rank), 117571 (no rank), 8287 (superclass), 1338369 (no rank), 32523 (no rank), 32524 (no rank), 40674 (class), 32525 (no rank), 9347 (no rank), 1437010 (no rank), 314146 (superorder), 9443 (order), 376913 (suborder), 314293 (infraorder), 9526 (parvorder), 314295 (superfamily), 9604 (family), 207598 (subfamily), 9605 (genus)	P36776;
P36952	reviewed	SPB5_HUMAN	Serpin B5 (Maspin) (Peptidase inhibitor 5) (PI-5)	SERPINB5 PI5	Homo sapiens (Human)	375	9606	UP000005640: Chromosome 18	131567 (no rank), 2759 (superkingdom), 33154 (no rank), 33208 (kingdom), 6072 (no rank), 33213 (no rank), 33511 (no rank), 7711 (phylum), 89593 (subphylum), 7742 (no rank), 7776 (no rank), 117570 (no rank), 117571 (no rank), 8287 (superclass), 1338369 (no rank), 32523 (no rank), 32524 (no rank), 40674 (class), 32525 (no rank), 9347 (no rank), 1437010 (no rank), 314146 (superorder), 9443 (order), 376913 (suborder), 314293 (infraorder), 9526 (parvorder), 314295 (superfamily), 9604 (family), 207598 (subfamily), 9605 (genus)	P36952;
P36955	reviewed	PEDF_HUMAN	Pigment epithelium-derived factor (PEDF) (Cell proliferation-inducing gene 35 protein) (EPC-1) (Serpin F1)	SERPINF1 PEDF PIG35	Homo sapiens (Human)	418	9606	UP000005640: Chromosome 17	131567 (no rank), 2759 (superkingdom), 33154 (no rank), 33208 (kingdom), 6072 (no rank), 33213 (no rank), 33511 (no rank), 7711 (phylum), 89593 (subphylum), 7742 (no rank), 7776 (no rank), 117570 (no rank), 117571 (no rank), 8287 (superclass), 1338369 (no rank), 32523 (no rank), 32524 (no rank), 40674 (class), 32525 (no rank), 9347 (no rank), 1437010 (no rank), 314146 (superorder), 9443 (order), 376913 (suborder), 314293 (infraorder), 9526 (parvorder), 314295 (superfamily), 9604 (family), 207598 (subfamily), 9605 (genus)	P36955;
P39900	reviewed	MMP12_HUMAN	Macrophage metalloelastase (MME) (EC 3.4.24.65) (Macrophage elastase) (ME) (hME) (Matrix metalloproteinase-12) (MMP-12)	MMP12 HME	Homo sapiens (Human)	470	9606	UP000005640: Chromosome 11	131567 (no rank), 2759 (superkingdom), 33154 (no rank), 33208 (kingdom), 6072 (no rank), 33213 (no rank), 33511 (no rank), 7711 (phylum), 89593 (subphylum), 7742 (no rank), 7776 (no rank), 117570 (no rank), 117571 (no rank), 8287 (superclass), 1338369 (no rank), 32523 (no rank), 32524 (no rank), 40674 (class), 32525 (no rank), 9347 (no rank), 1437010 (no rank), 314146 (superorder), 9443 (order), 376913 (suborder), 314293 (infraorder), 9526 (parvorder), 314295 (superfamily), 9604 (family), 207598 (subfamily), 9605 (genus)	P39900;
P42224	reviewed	STAT1_HUMAN	Signal transducer and activator of transcription 1-alpha/beta (Transcription factor ISGF-3 components p91/p84)	STAT1	Homo sapiens (Human)	750	9606	UP000005640: Chromosome 2	131567 (no rank), 2759 (superkingdom), 33154 (no rank), 33208 (kingdom), 6072 (no rank), 33213 (no rank), 33511 (no rank), 7711 (phylum), 89593 (subphylum), 7742 (no rank), 7776 (no rank), 117570 (no rank), 117571 (no rank), 8287 (superclass), 1338369 (no rank), 32523 (no rank), 32524 (no rank), 40674 (class), 32525 (no rank), 9347 (no rank), 1437010 (no rank), 314146 (superorder), 9443 (order), 376913 (suborder), 314293 (infraorder), 9526 (parvorder), 314295 (superfamily), 9604 (family), 207598 (subfamily), 9605 (genus)	P42224;
P42345	reviewed	MTOR_HUMAN	Serine/threonine-protein kinase mTOR (EC 2.7.11.1) (FK506-binding protein 12-rapamycin complex-associated protein 1) (FKBP12-rapamycin complex-associated protein) (Mammalian target of rapamycin) (mTOR) (Mechanistic target of rapamycin) (Rapamycin and FKBP12 target 1) (Rapamycin target protein 1)	MTOR FRAP FRAP1 FRAP2 RAFT1 RAPT1	Homo sapiens (Human)	2549	9606	UP000005640: Chromosome 1	131567 (no rank), 2759 (superkingdom), 33154 (no rank), 33208 (kingdom), 6072 (no rank), 33213 (no rank), 33511 (no rank), 7711 (phylum), 89593 (subphylum), 7742 (no rank), 7776 (no rank), 117570 (no rank), 117571 (no rank), 8287 (superclass), 1338369 (no rank), 32523 (no rank), 32524 (no rank), 40674 (class), 32525 (no rank), 9347 (no rank), 1437010 (no rank), 314146 (superorder), 9443 (order), 376913 (suborder), 314293 (infraorder), 9526 (parvorder), 314295 (superfamily), 9604 (family), 207598 (subfamily), 9605 (genus)	P42345;
P42574	reviewed	CASP3_HUMAN	Caspase-3 (CASP-3) (EC 3.4.22.56) (Apopain) (Cysteine protease CPP32) (CPP-32) (Protein Yama) (SREBP cleavage activity 1) (SCA-1) [Cleaved into: Caspase-3 subunit p17; Caspase-3 subunit p12]	CASP3 CPP32	Homo sapiens (Human)	277	9606	UP000005640: Chromosome 4	131567 (no rank), 2759 (superkingdom), 33154 (no rank), 33208 (kingdom), 6072 (no rank), 33213 (no rank), 33511 (no rank), 7711 (phylum), 89593 (subphylum), 7742 (no rank), 7776 (no rank), 117570 (no rank), 117571 (no rank), 8287 (superclass), 1338369 (no rank), 32523 (no rank), 32524 (no rank), 40674 (class), 32525 (no rank), 9347 (no rank), 1437010 (no rank), 314146 (superorder), 9443 (order), 376913 (suborder), 314293 (infraorder), 9526 (parvorder), 314295 (superfamily), 9604 (family), 207598 (subfamily), 9605 (genus)	P42574;
P42658	reviewed	DPP6_HUMAN	Dipeptidyl aminopeptidase-like protein 6 (DPPX) (Dipeptidyl aminopeptidase-related protein) (Dipeptidyl peptidase 6) (Dipeptidyl peptidase IV-like protein) (Dipeptidyl peptidase VI) (DPP VI)	DPP6	Homo sapiens (Human)	865	9606	UP000005640: Chromosome 7	131567 (no rank), 2759 (superkingdom), 33154 (no rank), 33208 (kingdom), 6072 (no rank), 33213 (no rank), 33511 (no rank), 7711 (phylum), 89593 (subphylum), 7742 (no rank), 7776 (no rank), 117570 (no rank), 117571 (no rank), 8287 (superclass), 1338369 (no rank), 32523 (no rank), 32524 (no rank), 40674 (class), 32525 (no rank), 9347 (no rank), 1437010 (no rank), 314146 (superorder), 9443 (order), 376913 (suborder), 314293 (infraorder), 9526 (parvorder), 314295 (superfamily), 9604 (family), 207598 (subfamily), 9605 (genus)	P42658;
P42785	reviewed	PCP_HUMAN	Lysosomal Pro-X carboxypeptidase (EC 3.4.16.2) (Angiotensinase C) (Lysosomal carboxypeptidase C) (Proline carboxypeptidase) (Prolylcarboxypeptidase) (PRCP)	PRCP PCP	Homo sapiens (Human)	496	9606	UP000005640: Chromosome 11	131567 (no rank), 2759 (superkingdom), 33154 (no rank), 33208 (kingdom), 6072 (no rank), 33213 (no rank), 33511 (no rank), 7711 (phylum), 89593 (subphylum), 7742 (no rank), 7776 (no rank), 117570 (no rank), 117571 (no rank), 8287 (superclass), 1338369 (no rank), 32523 (no rank), 32524 (no rank), 40674 (class), 32525 (no rank), 9347 (no rank), 1437010 (no rank), 314146 (superorder), 9443 (order), 376913 (suborder), 314293 (infraorder), 9526 (parvorder), 314295 (superfamily), 9604 (family), 207598 (subfamily), 9605 (genus)	P42785;
P43235	reviewed	CATK_HUMAN	Cathepsin K (EC 3.4.22.38) (Cathepsin O) (Cathepsin O2) (Cathepsin X)	CTSK CTSO CTSO2	Homo sapiens (Human)	329	9606	UP000005640: Chromosome 1	131567 (no rank), 2759 (superkingdom), 33154 (no rank), 33208 (kingdom), 6072 (no rank), 33213 (no rank), 33511 (no rank), 7711 (phylum), 89593 (subphylum), 7742 (no rank), 7776 (no rank), 117570 (no rank), 117571 (no rank), 8287 (superclass), 1338369 (no rank), 32523 (no rank), 32524 (no rank), 40674 (class), 32525 (no rank), 9347 (no rank), 1437010 (no rank), 314146 (superorder), 9443 (order), 376913 (suborder), 314293 (infraorder), 9526 (parvorder), 314295 (superfamily), 9604 (family), 207598 (subfamily), 9605 (genus)	P43235;
P43405	reviewed	KSYK_HUMAN	Tyrosine-protein kinase SYK (EC 2.7.10.2) (Spleen tyrosine kinase) (p72-Syk)	SYK	Homo sapiens (Human)	635	9606	UP000005640: Chromosome 9	131567 (no rank), 2759 (superkingdom), 33154 (no rank), 33208 (kingdom), 6072 (no rank), 33213 (no rank), 33511 (no rank), 7711 (phylum), 89593 (subphylum), 7742 (no rank), 7776 (no rank), 117570 (no rank), 117571 (no rank), 8287 (superclass), 1338369 (no rank), 32523 (no rank), 32524 (no rank), 40674 (class), 32525 (no rank), 9347 (no rank), 1437010 (no rank), 314146 (superorder), 9443 (order), 376913 (suborder), 314293 (infraorder), 9526 (parvorder), 314295 (superfamily), 9604 (family), 207598 (subfamily), 9605 (genus)	P43405;
P45452	reviewed	MMP13_HUMAN	Collagenase 3 (EC 3.4.24.-) (Matrix metalloproteinase-13) (MMP-13)	MMP13	Homo sapiens (Human)	471	9606	UP000005640: Chromosome 11	131567 (no rank), 2759 (superkingdom), 33154 (no rank), 33208 (kingdom), 6072 (no rank), 33213 (no rank), 33511 (no rank), 7711 (phylum), 89593 (subphylum), 7742 (no rank), 7776 (no rank), 117570 (no rank), 117571 (no rank), 8287 (superclass), 1338369 (no rank), 32523 (no rank), 32524 (no rank), 40674 (class), 32525 (no rank), 9347 (no rank), 1437010 (no rank), 314146 (superorder), 9443 (order), 376913 (suborder), 314293 (infraorder), 9526 (parvorder), 314295 (superfamily), 9604 (family), 207598 (subfamily), 9605 (genus)	P45452;
P46531	reviewed	NOTC1_HUMAN	Neurogenic locus notch homolog protein 1 (Notch 1) (hN1) (Translocation-associated notch protein TAN-1) [Cleaved into: Notch 1 extracellular truncation (NEXT); Notch 1 intracellular domain (NICD)]	NOTCH1 TAN1	Homo sapiens (Human)	2555	9606	UP000005640: Chromosome 9	131567 (no rank), 2759 (superkingdom), 33154 (no rank), 33208 (kingdom), 6072 (no rank), 33213 (no rank), 33511 (no rank), 7711 (phylum), 89593 (subphylum), 7742 (no rank), 7776 (no rank), 117570 (no rank), 117571 (no rank), 8287 (superclass), 1338369 (no rank), 32523 (no rank), 32524 (no rank), 40674 (class), 32525 (no rank), 9347 (no rank), 1437010 (no rank), 314146 (superorder), 9443 (order), 376913 (suborder), 314293 (infraorder), 9526 (parvorder), 314295 (superfamily), 9604 (family), 207598 (subfamily), 9605 (genus)	P46531;
P46721	reviewed	SO1A2_HUMAN	Solute carrier organic anion transporter family member 1A2 (OATP1A2) (OATP-A) (Organic anion-transporting polypeptide 1) (OATP-1) (Sodium-independent organic anion transporter) (Solute carrier family 21 member 3)	SLCO1A2 OATP OATP1 OATP1A2 SLC21A3	Homo sapiens (Human)	670	9606	UP000005640: Chromosome 12	131567 (no rank), 2759 (superkingdom), 33154 (no rank), 33208 (kingdom), 6072 (no rank), 33213 (no rank), 33511 (no rank), 7711 (phylum), 89593 (subphylum), 7742 (no rank), 7776 (no rank), 117570 (no rank), 117571 (no rank), 8287 (superclass), 1338369 (no rank), 32523 (no rank), 32524 (no rank), 40674 (class), 32525 (no rank), 9347 (no rank), 1437010 (no rank), 314146 (superorder), 9443 (order), 376913 (suborder), 314293 (infraorder), 9526 (parvorder), 314295 (superfamily), 9604 (family), 207598 (subfamily), 9605 (genus)	P46721;
P48147	reviewed	PPCE_HUMAN	Prolyl endopeptidase (PE) (EC 3.4.21.26) (Post-proline cleaving enzyme)	PREP PEP	Homo sapiens (Human)	710	9606	UP000005640: Chromosome 6	131567 (no rank), 2759 (superkingdom), 33154 (no rank), 33208 (kingdom), 6072 (no rank), 33213 (no rank), 33511 (no rank), 7711 (phylum), 89593 (subphylum), 7742 (no rank), 7776 (no rank), 117570 (no rank), 117571 (no rank), 8287 (superclass), 1338369 (no rank), 32523 (no rank), 32524 (no rank), 40674 (class), 32525 (no rank), 9347 (no rank), 1437010 (no rank), 314146 (superorder), 9443 (order), 376913 (suborder), 314293 (infraorder), 9526 (parvorder), 314295 (superfamily), 9604 (family), 207598 (subfamily), 9605 (genus)	P48147;
P48307	reviewed	TFPI2_HUMAN	Tissue factor pathway inhibitor 2 (TFPI-2) (Placental protein 5) (PP5)	TFPI2	Homo sapiens (Human)	235	9606	UP000005640: Chromosome 7	131567 (no rank), 2759 (superkingdom), 33154 (no rank), 33208 (kingdom), 6072 (no rank), 33213 (no rank), 33511 (no rank), 7711 (phylum), 89593 (subphylum), 7742 (no rank), 7776 (no rank), 117570 (no rank), 117571 (no rank), 8287 (superclass), 1338369 (no rank), 32523 (no rank), 32524 (no rank), 40674 (class), 32525 (no rank), 9347 (no rank), 1437010 (no rank), 314146 (superorder), 9443 (order), 376913 (suborder), 314293 (infraorder), 9526 (parvorder), 314295 (superfamily), 9604 (family), 207598 (subfamily), 9605 (genus)	P48307;
